,source_node,path,distance
235,78,"[78, 227, 104, 146, 8, 117, 1, 5]",8
236,78,"[78, 227, 104, 74, 15, 115, 40, 25]",8
237,79,"[79, 253, 32, 125, 262, 95, 243, 8, 117, 1, 5]",11
238,79,"[79, 253, 32, 125, 262, 95, 243, 8, 117, 40, 25]",11
239,79,"[79, 253, 32, 125, 262, 95, 243, 8, 146, 104, 74, 15]",12
240,80,"[80, 112, 87, 232, 3, 71, 46, 194, 287, 10]",10
241,80,"[80, 284, 41, 114, 106, 272, 246, 104, 74, 15]",10
242,80,"[80, 112, 87, 232, 3, 71, 46, 0, 155, 1, 5]",11
243,81,"[81, 25]",2
244,81,"[81, 25, 40, 115, 15]",5
245,81,"[81, 25, 40, 117, 1, 5]",6
246,82,"[82, 203, 199, 28, 115, 15]",6
247,82,"[82, 222, 163, 76, 81, 25]",6
248,82,"[82, 222, 254, 71, 46, 194, 287, 10]",8
249,83,"[83, 288, 207, 297, 275, 159, 5]",7
250,83,"[83, 288, 282, 289, 206, 81, 25]",7
251,83,"[83, 288, 53, 181, 106, 272, 246, 104, 74, 15]",10
252,84,"[84, 41, 114, 106, 272, 246, 104, 74, 15]",9
253,84,"[84, 201, 65, 34, 276, 184, 243, 8, 117, 1, 5]",11
254,84,"[84, 41, 114, 106, 37, 188, 71, 46, 194, 287, 10]",11
255,85,"[85, 149, 256, 105, 86, 184, 243, 8, 117, 1, 5]",11
256,85,"[85, 149, 256, 105, 86, 184, 243, 8, 117, 40, 25]",11
257,85,"[85, 149, 256, 105, 86, 184, 243, 8, 146, 104, 74, 15]",12
258,86,"[86, 184, 243, 8, 117, 1, 5]",7
259,86,"[86, 184, 243, 8, 117, 40, 25]",7
260,86,"[86, 184, 243, 8, 146, 104, 74, 15]",8
261,87,"[87, 232, 3, 71, 46, 194, 287, 10]",8
262,87,"[87, 232, 3, 71, 46, 0, 155, 1, 5]",9
263,87,"[87, 232, 3, 216, 264, 198, 146, 104, 74, 15]",10
264,88,"[88, 292, 223, 24, 241, 14, 81, 25]",8
265,88,"[88, 292, 223, 258, 264, 236, 155, 1, 5]",9
266,88,"[88, 292, 223, 258, 264, 198, 146, 104, 74, 15]",10
267,89,"[89, 127, 11, 87, 232, 3, 71, 46, 194, 287, 10]",11
268,89,"[89, 127, 11, 87, 232, 3, 71, 46, 0, 155, 1, 5]",12
269,89,"[89, 127, 11, 87, 232, 3, 216, 264, 198, 146, 104, 74, 15]",13
270,90,"[90, 254, 71, 46, 194, 287, 10]",7
271,90,"[90, 254, 222, 163, 76, 81, 25]",7
272,90,"[90, 254, 71, 46, 0, 155, 1, 5]",8
273,91,"[91, 201, 65, 34, 276, 184, 243, 8, 117, 1, 5]",11
274,91,"[91, 201, 84, 41, 114, 106, 272, 246, 104, 74, 15]",11
275,91,"[91, 201, 65, 34, 276, 184, 243, 8, 117, 40, 25]",11
276,92,"[92, 91, 201, 65, 34, 276, 184, 243, 8, 117, 1, 5]",12
277,92,"[92, 91, 201, 84, 41, 114, 106, 272, 246, 104, 74, 15]",12
278,92,"[92, 91, 201, 65, 34, 276, 184, 243, 8, 117, 40, 25]",12
279,93,"[93, 64, 142, 243, 8, 117, 1, 5]",8
280,93,"[93, 64, 142, 243, 8, 117, 40, 25]",8
281,93,"[93, 64, 142, 243, 8, 146, 104, 74, 15]",9
282,94,"[94, 45, 77, 297, 275, 159, 5]",7
283,94,"[94, 45, 56, 120, 144, 283, 252, 72, 40, 25]",10
284,94,"[94, 45, 56, 134, 54, 264, 198, 146, 104, 74, 15]",11
285,95,"[95, 243, 8, 117, 1, 5]",6
286,95,"[95, 243, 8, 117, 40, 25]",6
287,95,"[95, 243, 8, 146, 104, 74, 15]",7
288,96,"[96, 258, 264, 236, 155, 1, 5]",7
289,96,"[96, 258, 264, 198, 146, 104, 74, 15]",8
290,96,"[96, 258, 223, 24, 241, 14, 81, 25]",8
291,97,"[97, 29, 19, 238, 36, 188, 71, 46, 194, 287, 10]",11
292,97,"[97, 29, 19, 238, 36, 188, 71, 46, 0, 155, 1, 5]",12
293,97,"[97, 29, 19, 238, 36, 188, 35, 24, 241, 14, 81, 25]",12
